,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
324,Rizvi College of Engineering - [RCOE],"₹ 102,444",JEE MAIN, 7.9 ,(155 Reviews),['AICTE'],"Mumbai,Maharashtra",https://collegedunia.com/college/14783-rizvi-college-of-engineering-rcoe-mumbai
325,S.A. Engineering College,"₹ 60,000",TNEA, 7.9 ,(55 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/14807-sa-engineering-college-chennai
326,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],"₹ 70,926",COMEDK UGET, 7.5 ,(148 Reviews),"['AICTE, NBA']","Bangalore,Karnataka",https://collegedunia.com/college/15151-sir-m-visvesvaraya-institute-of-technology-sir-mvit-bangalore
327,St Martin's Engineering College - [SMEC],"₹ 100,000",TS EAMCET, 7.8 ,(129 Reviews),"['AICTE, UGC, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/15318-st-martins-engineering-college-smec-hyderabad
328,Swami Keshvanand Institute of Technology,"₹ 108,300",JEE MAIN, 7.8 ,(494 Reviews),"['AICTE, NBA']","Jaipur,Rajasthan",https://collegedunia.com/college/15381-swami-keshvanand-institute-of-technology-management-and-gramothan-skit-jaipur
329,Arka Jain University,"₹ 85,000",JEE MAIN, 7.8 ,(494 Reviews),"['AICTE, NBA']","Jaipur,Rajasthan",https://collegedunia.com/college/15381-swami-keshvanand-institute-of-technology-management-and-gramothan-skit-jaipur
330,Himgiri Zee University - [HZU],"₹ 95,000",JEE MAIN, 8.1 ,(31 Reviews),"['NCTE, COA, PCI, BCI, UGC']","Dehradun,Uttarakhand",https://collegedunia.com/university/25989-himgiri-zee-university-hzu-dehradun
331,MIT Academy of Engineering - [MITAOE],"₹ 175,737",JEE MAIN, 7.5 ,(91 Reviews),"['AICTE, UGC, NBA']","Pune,Maharashtra",https://collegedunia.com/college/28795-mit-academy-of-engineering-mitaoe-pune
332,Vivekananda Global University - [VGU],"₹ 100,000",JEE MAIN, 7.5 ,(91 Reviews),"['AICTE, UGC, NBA']","Pune,Maharashtra",https://collegedunia.com/college/28795-mit-academy-of-engineering-mitaoe-pune
333,Shri Ramswaroop Memorial University - [SRMU],"₹ 137,000",JEE MAIN, 7.5 ,(91 Reviews),"['AICTE, UGC, NBA']","Pune,Maharashtra",https://collegedunia.com/college/28795-mit-academy-of-engineering-mitaoe-pune
