,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
416,Lakshmi Narain College of Technology - [LNCT],"₹ 48,600",MP COUNSELLING, 5.9 ,(8 Reviews),['AICTE'],"Jabalpur,MadhyaPradesh",https://collegedunia.com/college/14075-lakshmi-narain-college-of-technology-lnct-jabalpur
417,Meenakshi Sundararajan Engineering College - [MSEC],"₹ 87,000",TNEA, 8 ,(22 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/14315-meenakshi-sundararajan-engineering-college-msec-chennai
418,Nandha Engineering College - [NEC],"₹ 50,000",TNEA, 7.1 ,(25 Reviews),"['AICTE, UGC, NBA']","Erode,TamilNadu",https://collegedunia.com/college/14420-nandha-engineering-college-nec-erode
419,Pragati Engineering College,"₹ 63,000",AP EAPCET, 7.6 ,(153 Reviews),['AICTE'],"EastGodavari,AndhraPradesh",https://collegedunia.com/college/14580-pragati-engineering-college-east-godavari
420,Prathyusha Engineering College - [PEC],"₹ 55,000",TNEA, 8 ,(54 Reviews),"['AICTE, NBA']","Thiruvallur,TamilNadu",https://collegedunia.com/college/14591-prathyusha-engineering-college-pec-thiruvallur
421,RCC Institute of Information Technology - [RCCIIT],"₹ 133,200",JEE MAIN, 7.6 ,(178 Reviews),"['AICTE, NBA']","Kolkata,WestBengal",https://collegedunia.com/college/14641-rcc-institute-of-information-technology-rcciit-kolkata
422,RMD Engineering College,"₹ 55,000",TNEA, 8 ,(38 Reviews),"['AICTE, NBA']","Thiruvallur,TamilNadu",https://collegedunia.com/college/14657-rmd-engineering-college-thiruvallur
423,Sambhram Institute of Technology - [SAIT],"₹ 83,560",COMEDK UGET, 7.2 ,(58 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/14909-sambhram-institute-of-technology-sait-bangalore
424,Sphoorthy Engineering College - [SEC],"₹ 72,000",TS EAMCET, 7.8 ,(119 Reviews),"['AICTE, UGC']","Hyderabad,Telangana",https://collegedunia.com/college/15179-sphoorthy-engineering-college-sec-hyderabad
425,Sri Eshwar College of Engineering - [SECE],"₹ 90,000",TNEA, 7.7 ,(61 Reviews),"['AICTE, NBA']","Coimbatore,TamilNadu",https://collegedunia.com/college/15212-sri-eshwar-college-of-engineering-sece-coimbatore
426,SJB Institute of Technology - [SJBIT],"₹ 135,000",COMEDK UGET, 7.5 ,(75 Reviews),"['AICTE, NBA']","Bangalore,Karnataka",https://collegedunia.com/college/15217-sjb-institute-of-technology-sjbit-bangalore
427,St.  Francis Institute of Technology - [SFIT],"₹ 130,000",JEE MAIN, 7.4 ,(55 Reviews),"['AICTE, NBA']","Mumbai,Maharashtra",https://collegedunia.com/college/15309-st-francis-institute-of-technology-sfit-mumbai
428,The Oxford College of Engineering,"₹ 130,090",COMEDK UGET, 6.7 ,(293 Reviews),"['AICTE, UGC, NBA']","Bangalore,Karnataka",https://collegedunia.com/college/15468-the-oxford-college-of-engineering-bangalore
429,Bhilai Institute of Technology - [BITR],"₹ 79,214",CHATTISGARH PRE ENGINEER..., 7.3 ,(17 Reviews),['AICTE'],"Raipur,Chhattisgarh",https://collegedunia.com/college/17369-bhilai-institute-of-technology-bitr-raipur
430,Jaipur Engineering College - [JEC],"₹ 85,000",JEE MAIN, 7.7 ,(58 Reviews),['AICTE'],"Jaipur,Rajasthan",https://collegedunia.com/college/18176-jaipur-engineering-college-jec-jaipur
431,Vidyavardhaka College of Engineering - [VVCE],"₹ 58,806",COMEDK UGET, 8.2 ,(90 Reviews),"['AICTE, NBA']","Mysore,Karnataka",https://collegedunia.com/college/19173-vidyavardhaka-college-of-engineering-vvce-mysore
432,Vidya Jyothi Institute of Technology - [VJIT],"₹ 115,000",TS EAMCET, 7.9 ,(89 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/24593-vidya-jyothi-institute-of-technology-vjit-hyderabad
433,Modern Vidya Niketan - [MVN University],"₹ 128,000",JEE MAIN, 5.9 ,(27 Reviews),"['NCTE, COA, PCI, BCI, UGC']","Palwal,Haryana",https://collegedunia.com/university/25532-modern-vidya-niketan-mvn-university-palwal
434,Arni University,"₹ 105,000",HPCET, 8.2 ,(11 Reviews),['UGC'],"Kangra,HimachalPradesh",https://collegedunia.com/university/25547-arni-university-kangra
435,Bahra University - [BU],"₹ 120,150",JEE MAIN, 8.2 ,(11 Reviews),['UGC'],"Kangra,HimachalPradesh",https://collegedunia.com/university/25547-arni-university-kangra
436,Amrita Vishwa Vidyapeetham Bengaluru Campus,"₹ 100,000",AEEE, 8.1 ,(54 Reviews),"['AICTE, UGC']","Bangalore,Karnataka",https://collegedunia.com/university/25592-amrita-vishwa-vidyapeetham-bengaluru-campus-bangalore
437,Sangam University - [SU],"₹ 100,000",JEE MAIN, 8.1 ,(54 Reviews),"['AICTE, UGC']","Bangalore,Karnataka",https://collegedunia.com/university/25592-amrita-vishwa-vidyapeetham-bengaluru-campus-bangalore
438,Periyar Maniammai Institute of Science and Technology - [PMIST],"₹ 44,500",JEE MAIN, 8.1 ,(54 Reviews),"['AICTE, UGC']","Bangalore,Karnataka",https://collegedunia.com/university/25592-amrita-vishwa-vidyapeetham-bengaluru-campus-bangalore
439,Shri Venkateshwara University - [SVU],"₹ 125,000",JEE MAIN, 8.5 ,(64 Reviews),"['AICTE, UGC']","Amroha,UttarPradesh",https://collegedunia.com/university/25975-shri-venkateshwara-university-svu-amroha
440,St Joseph College of Engineering,"₹ 60,000",TNEA, 8.3 ,(83 Reviews),['AICTE'],"Chennai,TamilNadu",https://collegedunia.com/college/28498-st-joseph-college-of-engineering-chennai
441,Lakshmi Narain College of Technology - [LNCT],"₹ 66,000",MP COUNSELLING, 7.7 ,(375 Reviews),"['AICTE, NBA']","Bhopal,MadhyaPradesh",https://collegedunia.com/college/28668-lakshmi-narain-college-of-technology-lnct-bhopal
442,GMR Institute of Technology - [GMRIT],"₹ 303,000",AP EAPCET, 8 ,(189 Reviews),['AICTE'],"Rajam,AndhraPradesh",https://collegedunia.com/college/28671-gmr-institute-of-technology-gmrit-rajam
443,Panimalar Institute of Technology-[PIT],"₹ 60,000",TNEA, 8.2 ,(42 Reviews),['AICTE'],"Chennai,TamilNadu",https://collegedunia.com/college/28756-panimalar-institute-of-technologypit-chennai
444,Muthayammal Engineering College - [MEC],"₹ 60,000",TNEA, 7.4 ,(18 Reviews),"['AICTE, NBA']","Namakkal,TamilNadu",https://collegedunia.com/college/28824-muthayammal-engineering-college-mec-namakkal
445,Technocrats Institute of Technology - [TIT] (Excellence),"₹ 74,400",JEE MAIN, 7.3 ,(36 Reviews),['AICTE'],"Bhopal,MadhyaPradesh",https://collegedunia.com/college/28836-technocrats-institute-of-technology-tit-excellence-bhopal
446,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"₹ 250,000",VTUEEE, 7.1 ,(360 Reviews),['NBA'],"Chennai,TamilNadu",https://collegedunia.com/university/54852-vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-vel-tech-chennai
447,Axis Colleges,"₹ 60,000",UPCET, 7.6 ,(50 Reviews),"['AICTE, COA, PCI']","Kanpur,UttarPradesh",https://collegedunia.com/college/55890-axis-colleges-kanpur
448,Amity University,"₹ 206,200",AMITY JEE, 8.2 ,(50 Reviews),['UGC'],"GreaterNoida,UttarPradesh",https://collegedunia.com/university/56579-amity-university-greater-noida
449,Netaji Subhas Institute of Technology - [NSIT],"₹ 108,300",BPTPIA CET, 7.1 ,(24 Reviews),['AICTE'],"Patna,Bihar",https://collegedunia.com/college/57620-netaji-subhas-institute-of-technology-nsit-patna
450,Excel Engineering College,"₹ 35,000",TNEA, 7.9 ,(13 Reviews),"['AICTE, UGC']","Namakkal,TamilNadu",https://collegedunia.com/college/57775-excel-engineering-college-namakkal
451,Sandip University,"₹ 130,000",JEE MAIN, 7.9 ,(13 Reviews),"['AICTE, UGC']","Namakkal,TamilNadu",https://collegedunia.com/college/57775-excel-engineering-college-namakkal
452,IIMT University - [IIMTU],"₹ 74,100",JEE MAIN, 7.9 ,(13 Reviews),"['AICTE, UGC']","Namakkal,TamilNadu",https://collegedunia.com/college/57775-excel-engineering-college-namakkal
453,Bengal College of Engineering - [BCE],"₹ 98,500",WBJEE, 6.2 ,(10 Reviews),['AICTE'],"Durgapur,WestBengal",https://collegedunia.com/college/59104-bengal-college-of-engineering-bce-durgapur
454,Apex University - [AU],"₹ 75,000",CUET, 8.6 ,(32 Reviews),"['NCTE, RCI, PCI, RNC, BCI']","Jaipur,Rajasthan",https://collegedunia.com/university/59939-apex-university-au-jaipur
455,JSS Science and Technology University -[JSSSTU],"₹ 105,812",JEE ADVANCED, 8.5 ,(46 Reviews),"['AICTE, NBA']","Mysore,Karnataka",https://collegedunia.com/university/60372-jss-science-and-technology-university-jssstu-mysore
456,Muthayammal College of Engineering - [MCE],"₹ 85,000",TNEA, 8.6 ,(3 Reviews),['AICTE'],"Rasipuram,TamilNadu",https://collegedunia.com/college/57807-muthayammal-college-of-engineering-mce-rasipuram
457,Dev Bhoomi Uttarakhand University - [DBUU],"₹ 100,000",JEE MAIN, 8.6 ,(3 Reviews),['AICTE'],"Rasipuram,TamilNadu",https://collegedunia.com/college/57807-muthayammal-college-of-engineering-mce-rasipuram
458,Assam Down Town University - [ADTU],"₹ 130,000",JEE MAIN, 8.6 ,(3 Reviews),['AICTE'],"Rasipuram,TamilNadu",https://collegedunia.com/college/57807-muthayammal-college-of-engineering-mce-rasipuram
459,Eternal University - [EU],"₹ 118,000",JEE MAIN, 8.6 ,(3 Reviews),['AICTE'],"Rasipuram,TamilNadu",https://collegedunia.com/college/57807-muthayammal-college-of-engineering-mce-rasipuram
460,Swami Rama Himalayan University - [SRHU],"₹ 276,000",BITSAT, 8 ,(29 Reviews),"['MCI, UGC, AIU']","Dehradun,Uttarakhand",https://collegedunia.com/university/55153-swami-rama-himalayan-university-srhu-dehradun
461,Srinivas University,"₹ 90,000",KCET, 7.6 ,(104 Reviews),"['NCTE, AICTE, UGC, ACCA']","Mangalore,Karnataka",https://collegedunia.com/university/55863-srinivas-university-mangalore
462,Seacom Skills University - [SSU],"₹ 82,000",JEE MAIN, 7.5 ,(15 Reviews),"['AICTE, PCI, BCI, UGC']","Birbhum,WestBengal",https://collegedunia.com/university/58101-seacom-skills-university-ssu-birbhum
463,Adichunchanagiri University - [ACU],"₹ 56,930",KCET, 8.1 ,(105 Reviews),"['AICTE, UGC']","Mandya,Karnataka",https://collegedunia.com/university/59802-adichunchanagiri-university-acu-mandya
464,Sardar Patel University - [SPUBGT],"₹ 51,500",JEE MAIN, 8.1 ,(105 Reviews),"['AICTE, UGC']","Mandya,Karnataka",https://collegedunia.com/university/59802-adichunchanagiri-university-acu-mandya
465,Sant Baba Bhag Singh University - [SBBSU],"₹ 103,300",JEE MAIN, 8.1 ,(105 Reviews),"['AICTE, UGC']","Mandya,Karnataka",https://collegedunia.com/university/59802-adichunchanagiri-university-acu-mandya
466,Aalim Muhammed Salegh College of Engineering - [AALIMEC],"₹ 55,000",TNEA, 8 ,(26 Reviews),['AICTE'],"Chennai,TamilNadu",https://collegedunia.com/college/12695-aalim-muhammed-salegh-college-of-engineering-aalimec-chennai
467,Accurate Institute of Management and Technology - [AIMT],"₹ 122,950",UPCET, 7.3 ,(60 Reviews),"['AICTE, COA, PCI']","GreaterNoida,UttarPradesh",https://collegedunia.com/college/12713-accurate-institute-of-management-and-technology-aimt-greater-noida
468,Asians Institute of Technology,"₹ 146,800",REAP, 7.2 ,(26 Reviews),['AICTE'],"Jaipur,Rajasthan",https://collegedunia.com/college/12897-asians-institute-of-technology-jaipur
469,Bhoj Reddy Engineering College for Women,"₹ 75,000",JEE MAIN, 8.3 ,(28 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/13078-bhoj-reddy-engineering-college-for-women-hyderabad
470,Budge Budge Institute of Technology - [BBIT],"₹ 114,650",JEE MAIN, 7.9 ,(92 Reviews),"['AICTE, UGC, NBA']","Kolkata,WestBengal",https://collegedunia.com/college/13117-budge-budge-institute-of-technology-bbit-kolkata
471,Calcutta Institute of Technology - [CIT],"₹ 86,500",WBJEE, 7.7 ,(100 Reviews),['AICTE'],"Howrah,WestBengal",https://collegedunia.com/college/13152-calcutta-institute-of-technology-cit-howrah
472,Camellia Institute of Technology - [CIT],"₹ 101,500",JEE MAIN, 7.9 ,(36 Reviews),['AICTE'],"Kolkata,WestBengal",https://collegedunia.com/college/13157-camellia-institute-of-technology-cit-kolkata
473,City Engineering College - [CEC],"₹ 117,000",JEE MAIN, 6.4 ,(43 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/13230-city-engineering-college-cec-bangalore
474,Dream Institute of Technology,"₹ 370,000",WBJEE, 8 ,(17 Reviews),['AICTE'],"Kolkata,WestBengal",https://collegedunia.com/college/13412-dream-institute-of-technology-kolkata
475,Gandhi Institute for Technology - [GIFT],"₹ 81,000",JEE MAIN, 8 ,(17 Reviews),['AICTE'],"Kolkata,WestBengal",https://collegedunia.com/college/13412-dream-institute-of-technology-kolkata
476,Jaya Engineering College - [JEC],"₹ 55,000",TNEA, 6.5 ,(31 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/13865-jaya-engineering-college-jec-chennai
477,KLN College of Engineering - [KLNCE],"₹ 60,000",TNEA, 7.5 ,(54 Reviews),"['AICTE, NBA']","Sivaganga,TamilNadu",https://collegedunia.com/college/13926-kln-college-of-engineering-klnce-sivaganga
478,Kamaraj College of Engineering and Technology - [KCET],"₹ 77,000",JEE MAIN, 7.8 ,(54 Reviews),"['AICTE, NBA']","Sivaganga,TamilNadu",https://collegedunia.com/college/13926-kln-college-of-engineering-klnce-sivaganga
479,MCKV Institute of Engineering - [MCKVIE],"₹ 400,000",JEE MAIN, 7.2 ,(81 Reviews),"['AICTE, NBA']","Kolkata,WestBengal",https://collegedunia.com/college/14124-mckv-institute-of-engineering-mckvie-kolkata
480,Mahakal Institute of Technology - [MIT],"₹ 57,000",MP COUNSELLING, 8.2 ,(92 Reviews),['AICTE'],"Ujjain,MadhyaPradesh",https://collegedunia.com/college/14185-mahakal-institute-of-technology-mit-ujjain
481,Mangalam College of Engineering Ettumanoor - [MLM],"₹ 75,000",KEAM, 6.9 ,(43 Reviews),['AICTE'],"Kottayam,Kerala",https://collegedunia.com/college/14256-mangalam-college-of-engineering-ettumanoor-mlm-kottayam
482,Moradabad Institute of Technology - [MIT],"₹ 114,575",JEE MAIN, 6.7 ,(52 Reviews),"['AICTE, NBA']","Moradabad,UttarPradesh",https://collegedunia.com/college/14364-moradabad-institute-of-technology-mit-moradabad
483,Muffakham Jah College of Engineering & Technology - [MJCET],"₹ 110,000",TS EAMCET, 8.1 ,(119 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/14373-muffakham-jah-college-of-engineering-and-technology-mjcet-hyderabad
484,Nalla Malla Reddy Engineering College - [NMREC],"₹ 86,000",TS EAMCET, 7.1 ,(77 Reviews),"['AICTE, UGC, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/14417-nalla-malla-reddy-engineering-college-nmrec-hyderabad
485,Narasaraopeta Engineering College - [NEC],"₹ 60,400",AP EAPCET, 7.4 ,(81 Reviews),"['AICTE, NBA']","Narasaraopet,AndhraPradesh",https://collegedunia.com/college/14426-narasaraopeta-engineering-college-nec-narasaraopet
486,Oriental Institute of Science and Technology - [OIST],"₹ 60,000",MP COUNSELLING, 8.3 ,(23 Reviews),"['AICTE, NBA']","Jabalpur,MadhyaPradesh",https://collegedunia.com/college/14532-oriental-institute-of-science-and-technology-oist-jabalpur
487,Ranganathan Engineering College - [REC],"₹ 60,000",TNEA, 7.9 ,(14 Reviews),['AICTE'],"Coimbatore,TamilNadu",https://collegedunia.com/college/14752-ranganathan-engineering-college-rec-coimbatore
488,SKR Engineering College,"₹ 200,000",TNEA, 7 ,(17 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/14832-skr-engineering-college-chennai
489,"Sagar Institute of Science and Technology - [SISTec] -
 Sagar Group of Institutions","₹ 340,000",JEE MAIN, 7.9 ,(84 Reviews),['AICTE'],"Bhopal,MadhyaPradesh",https://collegedunia.com/college/14887-sagar-institute-of-science-and-technology-sistec-sagar-group-of-institutions-bhopal
490,Sai Vidya Institute of Technology - [SVIT],"₹ 110,800",COMEDK UGET, 8.4 ,(154 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/14901-sai-vidya-institute-of-technology-svit-bangalore
491,Sikkim Manipal Institute of Technology - [SMIT],"₹ 320,000",MET, 8.7 ,(187 Reviews),"['AICTE, NBA']","EastSikkim,Sikkim",https://collegedunia.com/college/15134-sikkim-manipal-institute-of-technology-smit-east-sikkim
492,Sri Ramakrishna Institute of Technology - [SRIT],"₹ 50,000",TNEA, 7.9 ,(43 Reviews),"['AICTE, UGC, NBA']","Coimbatore,TamilNadu",https://collegedunia.com/college/15244-sri-ramakrishna-institute-of-technology-srit-coimbatore
493,Sri Shakthi Institute of Engineering and Technology - [SIET],"₹ 50,000",TNEA, 7.3 ,(53 Reviews),['AICTE'],"Coimbatore,TamilNadu",https://collegedunia.com/college/15259-sri-shakthi-institute-of-engineering-and-technology-siet-coimbatore
494,Thejus Engineering College,"₹ 88,400",KEAM, 8.4 ,(29 Reviews),['AICTE'],"Thrissur,Kerala",https://collegedunia.com/college/15473-thejus-engineering-college-thrissur
495,Trinity Institute of Technology and Research,"₹ 53,000",MP COUNSELLING, 7.4 ,(24 Reviews),['AICTE'],"Bhopal,MadhyaPradesh",https://collegedunia.com/college/15492-trinity-institute-of-technology-and-research-bhopal
496,JSPM Narhe Technical Campus - [JSPM NTC] Narhe,"₹ 360,000",JEE MAIN, 7.8 ,(38 Reviews),['AICTE'],"Pune,Maharashtra",https://collegedunia.com/college/18154-jspm-narhe-technical-campus-jspm-ntc-narhe-pune
497,VSB Engineering College - [VSBEC],"₹ 45,000",TNEA, 7.4 ,(18 Reviews),"['AICTE, NBA']","Karur,TamilNadu",https://collegedunia.com/college/19113-vsb-engineering-college-vsbec-karur
498,Vishnu Institute of Technology - [VIT],"₹ 60,000",JEE MAIN, 8.5 ,(150 Reviews),"['AICTE, NBA']","Bhimavaram,AndhraPradesh",https://collegedunia.com/college/19203-vishnu-institute-of-technology-vit-bhimavaram
499,PSR Engineering College,"₹ 60,000",TNEA, 6.6 ,(13 Reviews),"['AICTE, NBA']","Virudhunagar,TamilNadu",https://collegedunia.com/college/24316-psr-engineering-college-virudhunagar
500,Tula's Institute,"₹ 107,500",JEE MAIN, 6.6 ,(13 Reviews),"['AICTE, NBA']","Virudhunagar,TamilNadu",https://collegedunia.com/college/24316-psr-engineering-college-virudhunagar
501,Velalar College of Engineering and Technology -[VCET],"₹ 50,000",TNEA, 8.3 ,(32 Reviews),['AICTE'],"Erode,TamilNadu",https://collegedunia.com/college/24589-velalar-college-of-engineering-and-technology-vcet-erode
502,Bhagwant University,"₹ 84,500",JEE MAIN, 8.3 ,(32 Reviews),['AICTE'],"Erode,TamilNadu",https://collegedunia.com/college/24589-velalar-college-of-engineering-and-technology-vcet-erode
503,ICFAI University,"₹ 120,000",JEE MAIN, 8.3 ,(32 Reviews),['AICTE'],"Erode,TamilNadu",https://collegedunia.com/college/24589-velalar-college-of-engineering-and-technology-vcet-erode
504,United Group of Institutions - [UGI],"₹ 116,995",JEE MAIN, 8.3 ,(60 Reviews),"['AICTE, MHRD']","GreaterNoida,UttarPradesh",https://collegedunia.com/college/28074-united-group-of-institutions-ugi-greater-noida
505,Annamacharya Institute of Technology and Sciences,"₹ 68,700",AP EAPCET, 8.3 ,(27 Reviews),['AICTE'],"Kadapa,AndhraPradesh",https://collegedunia.com/college/28391-annamacharya-institute-of-technology-and-sciences-kadapa
506,Babu Banarasi Das Institute of Technology & Management - [BBDITM],"₹ 116,803",JEE MAIN, 7.3 ,(153 Reviews),['AICTE'],"Lucknow,UttarPradesh",https://collegedunia.com/college/28421-babu-banarasi-das-institute-of-technology-and-management-bbditm-lucknow
507,JB Institute of Technology - [JBIT],"₹ 248,000",JEE MAIN, 7.5 ,(32 Reviews),"['AICTE, MHRD']","Dehradun,Uttarakhand",https://collegedunia.com/college/28468-jb-institute-of-technology-jbit-dehradun
508,Malla Reddy Engineering College for Women - [MRECW],"₹ 87,000",TS EAMCET, 9.1 ,(48 Reviews),['AICTE'],"Secunderabad,Telangana",https://collegedunia.com/college/28750-malla-reddy-engineering-college-for-women-mrecw-secunderabad
509,St. Peter's Institute of Higher Education and Research - [SPIHER],"₹ 100,000",JEE MAIN, 9.1 ,(48 Reviews),['AICTE'],"Secunderabad,Telangana",https://collegedunia.com/college/28750-malla-reddy-engineering-college-for-women-mrecw-secunderabad
510,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"₹ 240,000",COMEDK UGET, 8 ,(75 Reviews),"['AICTE, UGC, AIU']","Bangalore,Karnataka",https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore
511,East West College of Engineering - [EWCE],"₹ 235,000",KCET, 8.4 ,(31 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/56384-east-west-college-of-engineering-ewce-bangalore
512,Global Institute,"₹ 318,000",LEET, 7.9 ,(35 Reviews),"['AICTE, NBA']","Amritsar,Punjab",https://collegedunia.com/college/57397-global-institute-amritsar
513,Priyadarshini College of Engineering - [PCE],"₹ 113,000",JEE MAIN, 7.7 ,(94 Reviews),['AICTE'],"Nagpur,Maharashtra",https://collegedunia.com/college/57623-priyadarshini-college-of-engineering-pce-nagpur
514,Jeppiaar Institute of Technology - [JIT],"₹ 95,000",TNEA, 8.6 ,(30 Reviews),['AICTE'],"Sriperumbudur,TamilNadu",https://collegedunia.com/college/57752-jeppiaar-institute-of-technology-jit-sriperumbudur
515,SRM University,"₹ 250,000",SRMJEEE, 8.7 ,(50 Reviews),['UGC'],"Amaravathi,AndhraPradesh",https://collegedunia.com/university/58597-srm-university-amaravathi
516,University of Technology - [UOT],"₹ 90,000",JEE MAIN, 8.7 ,(50 Reviews),['UGC'],"Amaravathi,AndhraPradesh",https://collegedunia.com/university/58597-srm-university-amaravathi
517,CT University - [CTU],"₹ 154,700",JEE MAIN, 8.7 ,(50 Reviews),['UGC'],"Amaravathi,AndhraPradesh",https://collegedunia.com/university/58597-srm-university-amaravathi
518,Malla Reddy College of Engineering for Women - [MRCEW],"₹ 60,000",TS EAMCET, 7.9 ,(22 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
519,Bhabha University - [BU],"₹ 44,000",JEE MAIN, 7.9 ,(22 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
520,Rai University - [RU],"₹ 64,600",JEE MAIN, 7.9 ,(22 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
521,Shri Krishna University - [SKU],"₹ 46,000",JEE MAIN, 7.9 ,(22 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
522,Arunodaya University,--,JEE MAIN, 7.9 ,(22 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
523,Shri Guru Ram Rai University - [SGRR],"₹ 104,000",JEE MAIN, 7.9 ,(22 Reviews),['AICTE'],"Hyderabad,Telangana",https://collegedunia.com/college/59695-malla-reddy-college-of-engineering-for-women-mrcew-hyderabad
524,Anand Institute of Higher Technology - [AIHT],"₹ 50,000",TNEA, 6 ,(22 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai
525,Arunai Engineering College - [AEC],"₹ 50,000",TNEA, 7.2 ,(26 Reviews),"['AICTE, NBA']","Tiruvannamalai,TamilNadu",https://collegedunia.com/college/12874-arunai-engineering-college-aec-tiruvannamalai
526,Bharati Vidyapeeth College of Engineering - [BVCOE],"₹ 82,301",BVP CET, 6.4 ,(6 Reviews),['AICTE'],"Kolhapur,Maharashtra",https://collegedunia.com/college/13060-bharati-vidyapeeth-college-of-engineering-bvcoe-kolhapur
527,DMI College of Engineering - [DMICE],"₹ 60,000",TNEA, 7.3 ,(52 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/13295-dmi-college-of-engineering-dmice-chennai
528,Dayananda Sagar Academy of Technology and Management - [DSATM],"₹ 97,306",COMEDK UGET, 8.2 ,(115 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/13315-dayananda-sagar-academy-of-technology-and-management-dsatm-bangalore
529,Dhole Patil College of Engineering - [DPCOE],"₹ 104,424",JEE MAIN, 8.1 ,(55 Reviews),['AICTE'],"Pune,Maharashtra",https://collegedunia.com/college/13351-dhole-patil-college-of-engineering-dpcoe-pune
530,Don Bosco Institute of Technology - [DBIT],"₹ 200,000",COMEDK UGET, 7.4 ,(104 Reviews),"['AICTE, NBA']","Bangalore,Karnataka",https://collegedunia.com/college/13359-don-bosco-institute-of-technology-dbit-bangalore
531,Dronacharya Group of Institutions - [DGI],"₹ 93,800",JEE MAIN, 8 ,(380 Reviews),['AICTE'],"GreaterNoida,UttarPradesh",https://collegedunia.com/college/13413-dronacharya-group-of-institutions-dgi-greater-noida
